"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Likes,Shares,Comments,Saves,Reach,Follows
17930570532027990,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Mother’s day is beyond the superficial; spread true love and joy to every mother in your life.

#HappyMothersDay #BrandID",138,"05/11/2025 04:49",https://www.instagram.com/reel/DJgx0pCs6Uv/,"IG reel",,Lifetime,662,53,2,6,1,451,0
18056586473225552,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","This thursday we’re throwing it back to when we had an amazing run with Loop&Co. Our love story was truly one for the books. 

Loop & Co. came to us as more than just a small business; they came with a dream. We listened, and we crafted a rebrand and roll-out that reflects their passion and purpose. This is why we do what we do and nothing drives us more than bringing those visions to life.

#BrandID #LoopAndCo #DigitalMarketers #MadeWithLove",170,"05/22/2025 05:09",https://www.instagram.com/reel/DJ9Ib9Qsdpl/,"IG reel",,Lifetime,496,37,1,0,0,329,0
18094326016525376,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Choose an agency that’s built for the terrain.
With over a decade of advertising excellence under our belt, it’s  a good thing you found us before your competitor did.

#100menvsgorilla #AgencyLife #InteractiveDigital",19,"05/27/2025 10:23",https://www.instagram.com/reel/DKKk46DiJnZ/,"IG reel",,Lifetime,649,46,0,5,1,347,0
18070041577959945,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Yes, we’ll feast on all the meat we can get today, but first… Feast your eyes on the elegance of religion. Happy Eid!

#EidMubarak 
#AgencyLife 
#BrandID",62,"06/06/2025 03:35",https://www.instagram.com/reel/DKjmDf1C9Y2/,"IG reel",,Lifetime,2593,107,2,5,1,1865,4
17901300267205605,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","We’re built like that. Taking the Pitcher Awards silver for “Use of Influencers & Brand Ambassadors” is just the icing on the cake. The real win is in each player.

#BrandID #SwayByID #PitcherAwards #CreativeExcellence #DigitalAgency #InfluencerMarkerting",0,"06/13/2025 06:15",https://www.instagram.com/p/DK16Ai5I9up/,"IG carousel",,Lifetime,1815,115,4,7,1,529,0
18328878241207584,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","He may not talk plenty, but his actions are loud enough! Ayekoo to the fathers who show love the Ghanaian way; steady, strong, and always present. Happy Father’s Day!

#FathersDay #ForeverGrateful #LoveYouDad #BrandID",0,"06/15/2025 05:18",https://www.instagram.com/p/DK69E_PsxkJ/,"IG image",,Lifetime,1317,38,0,0,0,275,0
18107840800458059,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","Happy Father’s Day!
Now let’s address the elephant in the room…

“Are fathers really unavailable?”

Here’s what our !D dads had to say:

#HappyFathersDay #HeroAtHome
#DadLife #BrandID #IDConversations",98,"06/15/2025 07:41",https://www.instagram.com/reel/DK7NWnboVGM/,"IG reel",,Lifetime,486,42,0,1,0,302,0
17877521211242458,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","We came. We balled. We conquered.
Our teamwork is tighter than a full-court press, so, of course we took home the AAG Basketball trophy! 

To the other teams… better luck next season (or maybe you just can’t ball like us 😤😂).

#BrandID #InteragencyGames2025 #CorporateFunGames #WeNoDeyCarryLast #NBAFinals",42,"06/17/2025 07:01",https://www.instagram.com/reel/DLASVhNI-Cd/,"IG reel",,Lifetime,626,55,1,6,0,337,0
18057192542360367,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","We came online for the friends… stayed for the memes, chaos, and soft life tips. It’s wild how much of life now lives here.

Tap the link in bio to find out more!

#BrandID #SocialMediaWeek #AdWeek #DigitalMarketing",0,"07/03/2025 05:08",https://www.instagram.com/p/DLpSQqNMvqz/,"IG carousel",,Lifetime,4211,48,0,0,0,134362,0
18145517866403680,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","You’re probably wondering how we found out. At Interactive Digital, we turn everyday data into powerful insight. Not just numbers, but patterns rooted in culture, behavior, and emotion. The best campaigns don’t just show up; they resonate. That happens when data reflects real people: what they eat, where they shop, how they scroll, connecting with their values, memories, and daily lives. Cultural relevance isn’t guesswork. It’s data-driven. And that’s what makes the difference between noise and lasting impact.

#BrandID #DataDrivenMarketing
#CulturalInsights #DigitalMarketing #Ads
#MarketingStrategy",0,"07/16/2025 08:02",https://www.instagram.com/p/DMLEjfXI07F/,"IG carousel",,Lifetime,1304,54,0,0,0,260,1
17891789940290100,17841405985702474,interactivedigi,"INTERACTIVE DIGITAL","If people remember it, repeat it, or roll their eyes at it, then it matters. That’s how we learn what sticks, what flops, and what connects. Your opinions aren’t just takes; they matter. So, what’s yours? Drop it below.

#BrandID #AdStrategy #CreativeAds #AdvertisingAgency #MarketingThatWorks #ShakeItToTheMax",135,"07/25/2025 05:04",https://www.instagram.com/reel/DMh7JiDsPtw/,"IG reel",,Lifetime,653,43,3,2,2,453,0
